#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
115,El Salvador,"201,785",,"4,230 ",,"179,410",,"18,145",8,"30,755",645,"2,610,114","397,818","6,561,078 ",North America,"331,5513",,,"2,766"
116,Afghanistan,"201,503",+118,"7,812 ",+1,"179,884",+24,"13,807","1,124","4,922",191,"1,122,473","27,421","40,935,227 ",Asia,"2035,24036",3,0.02,337
117,Guadeloupe,"195,593",,991 ,,N/A,N/A,N/A,19,"488,640","2,476","938,039","2,343,457","400,280 ",North America,24040,,,"480,544"
118,Maldives,"185,194",,308 ,,"163,687",,"21,199",25,"329,330",548,"2,213,831","3,936,854","562,335 ",Asia,"31,8260",,,"37,698"
119,Trinidad and Tobago,"184,261",,"4,235 ",,"177,081",,"2,945",8,"130,695","3,004","842,716","597,732","1,409,855 ",North America,83332,,,"2,089"
120,Ghana,"170,321",,"1,460 ",,"168,397",,464,2,"5,231",45,"2,511,658","77,145","32,557,634 ",Africa,"19122,30013",,,14
121,Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,454",74,"3,012,408","61,417","49,048,503 ",Africa,"29013,51916",,,"1,332"
122,Namibia,"169,253",,"4,065 ",,"164,813",,375,,"63,960","1,536","1,062,663","401,576","2,646,229 ",Africa,166512,,,142
123,Jamaica,"151,931",,"3,320 ",,"99,392",,"49,219",,"50,801","1,110","1,183,986","395,885","2,990,735 ",North America,209013,,,"16,457"
124,Cambodia,"137,975",+5,"3,056  ",,"134,854",+10,65,,"7,999",177,"3,071,982","178,101","17,248,513 ",Asia,"1255,6446",0.3,,4
125,Rwanda,"132,530",,"1,467 ",,"131,027",,36,,"9,683",107,"5,841,019","426,750","13,687,219 ",Africa,"1039,3302",,,3
126,Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"4,336",69,"1,751,774","62,433","28,058,559 ",Africa,"23114,50116",,,39
127,Malta,"115,072",+36,806 ,,"113,532",+18,734,4,"259,035","1,814","2,070,754","4,661,414","444,233 ",Europe,45510,81,,"1,652"
